================ Training Loss (Sun Oct 16 23:32:46 2022) ================
(epoch: 575, iters: 128, time: 0.178, data: 0.014) G_GAN: 1.521 G_L1: 3.551 D_real: 0.351 D_fake: 1.027 
(epoch: 588, iters: 64, time: 0.173, data: 6.250) G_GAN: 1.067 G_L1: 3.299 D_real: 0.563 D_fake: 0.507 
(epoch: 600, iters: 128, time: 0.181, data: 0.018) G_GAN: 1.079 G_L1: 3.361 D_real: 0.512 D_fake: 0.631 
(epoch: 613, iters: 64, time: 0.172, data: 6.077) G_GAN: 1.090 G_L1: 3.246 D_real: 0.243 D_fake: 1.099 
(epoch: 625, iters: 128, time: 0.182, data: 0.015) G_GAN: 0.646 G_L1: 3.672 D_real: 0.843 D_fake: 0.448 
(epoch: 638, iters: 64, time: 0.174, data: 5.889) G_GAN: 0.932 G_L1: 2.836 D_real: 0.417 D_fake: 0.805 
(epoch: 650, iters: 128, time: 0.185, data: 0.019) G_GAN: 0.466 G_L1: 3.301 D_real: 1.093 D_fake: 0.278 
(epoch: 663, iters: 64, time: 0.175, data: 6.159) G_GAN: 1.320 G_L1: 3.221 D_real: 0.331 D_fake: 0.857 
(epoch: 675, iters: 128, time: 0.185, data: 0.019) G_GAN: 0.932 G_L1: 3.241 D_real: 0.537 D_fake: 0.617 
(epoch: 688, iters: 64, time: 0.177, data: 6.156) G_GAN: 1.048 G_L1: 2.990 D_real: 0.522 D_fake: 0.880 
(epoch: 700, iters: 128, time: 0.184, data: 0.017) G_GAN: 0.790 G_L1: 3.044 D_real: 0.609 D_fake: 0.561 
(epoch: 713, iters: 64, time: 0.179, data: 6.159) G_GAN: 1.163 G_L1: 3.760 D_real: 0.760 D_fake: 0.362 
(epoch: 725, iters: 128, time: 0.187, data: 0.016) G_GAN: 1.456 G_L1: 3.225 D_real: 0.241 D_fake: 1.293 
(epoch: 738, iters: 64, time: 0.177, data: 6.192) G_GAN: 1.260 G_L1: 2.943 D_real: 0.349 D_fake: 0.832 
(epoch: 750, iters: 128, time: 0.188, data: 0.018) G_GAN: 0.503 G_L1: 2.633 D_real: 0.973 D_fake: 0.460 
(epoch: 763, iters: 64, time: 0.180, data: 6.231) G_GAN: 0.876 G_L1: 2.914 D_real: 0.524 D_fake: 0.607 
(epoch: 775, iters: 128, time: 0.187, data: 0.015) G_GAN: 0.829 G_L1: 2.776 D_real: 0.636 D_fake: 0.528 
(epoch: 788, iters: 64, time: 0.181, data: 6.232) G_GAN: 0.942 G_L1: 2.789 D_real: 0.614 D_fake: 0.629 
(epoch: 800, iters: 128, time: 0.191, data: 0.018) G_GAN: 1.195 G_L1: 3.295 D_real: 0.279 D_fake: 1.000 
(epoch: 813, iters: 64, time: 0.181, data: 5.960) G_GAN: 1.360 G_L1: 3.141 D_real: 0.213 D_fake: 1.105 
(epoch: 825, iters: 128, time: 0.192, data: 0.014) G_GAN: 1.228 G_L1: 3.061 D_real: 0.433 D_fake: 0.818 
(epoch: 838, iters: 64, time: 0.182, data: 6.148) G_GAN: 1.227 G_L1: 3.124 D_real: 0.348 D_fake: 0.761 
(epoch: 850, iters: 128, time: 0.190, data: 0.016) G_GAN: 0.452 G_L1: 3.044 D_real: 1.068 D_fake: 0.335 
(epoch: 863, iters: 64, time: 0.184, data: 6.261) G_GAN: 0.657 G_L1: 2.697 D_real: 0.779 D_fake: 0.414 
(epoch: 875, iters: 128, time: 0.192, data: 0.016) G_GAN: 1.119 G_L1: 3.042 D_real: 0.515 D_fake: 0.595 
(epoch: 888, iters: 64, time: 0.183, data: 6.221) G_GAN: 1.012 G_L1: 2.793 D_real: 0.346 D_fake: 0.806 
(epoch: 900, iters: 128, time: 0.192, data: 0.018) G_GAN: 1.109 G_L1: 2.919 D_real: 0.560 D_fake: 0.449 
(epoch: 913, iters: 64, time: 0.184, data: 6.153) G_GAN: 1.344 G_L1: 2.750 D_real: 0.334 D_fake: 0.587 
(epoch: 925, iters: 128, time: 0.193, data: 0.019) G_GAN: 1.061 G_L1: 3.079 D_real: 0.669 D_fake: 0.210 
(epoch: 938, iters: 64, time: 0.184, data: 6.144) G_GAN: 1.140 G_L1: 2.802 D_real: 0.605 D_fake: 0.357 
(epoch: 950, iters: 128, time: 0.196, data: 0.013) G_GAN: 0.794 G_L1: 2.888 D_real: 0.672 D_fake: 0.610 
(epoch: 963, iters: 64, time: 0.184, data: 6.081) G_GAN: 1.618 G_L1: 2.771 D_real: 0.261 D_fake: 0.487 
(epoch: 975, iters: 128, time: 0.195, data: 0.016) G_GAN: 1.517 G_L1: 2.787 D_real: 0.267 D_fake: 0.784 
(epoch: 988, iters: 64, time: 0.187, data: 6.185) G_GAN: 0.813 G_L1: 3.017 D_real: 0.684 D_fake: 0.266 
(epoch: 1000, iters: 128, time: 0.195, data: 0.018) G_GAN: 2.127 G_L1: 2.937 D_real: 0.196 D_fake: 0.516 
(epoch: 1013, iters: 64, time: 0.189, data: 6.307) G_GAN: 1.565 G_L1: 2.532 D_real: 0.197 D_fake: 0.954 
(epoch: 1025, iters: 128, time: 0.197, data: 0.016) G_GAN: 0.804 G_L1: 2.607 D_real: 0.627 D_fake: 0.434 
(epoch: 1038, iters: 64, time: 0.190, data: 6.090) G_GAN: 1.653 G_L1: 2.755 D_real: 0.310 D_fake: 0.781 
(epoch: 1050, iters: 128, time: 0.198, data: 0.017) G_GAN: 2.323 G_L1: 3.143 D_real: 0.230 D_fake: 0.085 
